match_week,attendance,home_position,away_position,home_performance,away_performance,home_avg_scored,away_avg_scored,home_avg_conceded,away_avg_conceded,home_performance_last_five,away_performance_last_five,home_performance_as_home,away_performance_as_away,home_avg_scored_as_home,away_avg_scored_as_away,home_avg_conceded_as_home,away_avg_conceded_as_away,home_posse,away_posse,home_shotsON,away_shotsON,home_shots,away_shots,home_passes,away_passes,home_corners,away_corners,home_offsides,away_offsides,home_yellows,away_yellows,home_reds,away_reds,home_fouls,away_fouls,Form_Home_Goals_Scored,Form_Home_Goals_Conceded,Form_Home_Shots,Form_Home_Possession,Form_Home_Points,Form_Away_Goals_Scored,Form_Away_Goals_Conceded,Form_Away_Shots,Form_Away_Possession,Form_Away_Points,HomeTeamResult
6,27582,6.0,1.0,0.53,1.0,0.6,4.2,1.0,0.8,0.4,0.6,0.67,1.0,1,7,0,1,41.7,58.3,5.0,4.0,13.0,14.0,301.0,447.0,8.0,8.0,1.0,3.0,1.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,8.8,40.54,1.6,0.0,0.0,18.4,57.17999999999999,3.0,D
6,16707,10.0,7.0,0.47,0.47,0.8,1.2,1.2,0.8,0.27,0.2,0.17,0.33,0,2,4,2,59.2,40.8,2.0,2.0,19.0,11.0,405.0,266.0,11.0,8.0,3.0,2.0,0.0,6.0,1.0,0.0,16.0,19.0,0.0,0.0,13.4,47.7,1.4,0.0,0.0,11.0,46.06,1.4,D
6,26107,13.0,12.0,0.33,0.33,1.0,1.2,1.4,0.8,0.2,0.27,0.17,0.33,1,1,2,1,42.7,57.3,4.0,5.0,12.0,14.0,413.0,570.0,7.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,7.0,0.0,0.0,12.8,46.4,1.0,0.0,0.0,12.6,44.94,1.0,W
7,39510,11.0,6.0,0.39,0.56,1.0,1.33,1.33,1.33,0.27,0.2,0.44,0.33,5,2,4,5,36.0,64.0,3.0,7.0,12.0,16.0,268.0,494.0,5.0,9.0,2.0,1.0,1.0,1.0,1.0,0.0,15.0,10.0,0.0,0.0,14.6,49.86,1.4,0.0,0.0,14.8,55.839999999999996,1.8,L
7,30744,8.0,15.0,0.44,0.28,1.17,0.83,0.83,1.5,0.2,0.0,0.56,0.11,4,1,2,6,38.8,61.2,6.0,4.0,16.0,15.0,272.0,436.0,5.0,10.0,4.0,1.0,0.0,1.0,0.0,0.0,11.0,7.0,0.0,0.0,11.8,45.04,1.4,0.0,0.0,9.6,44.440000000000005,0.8,W
7,24760,18.0,2.0,0.22,0.89,1.33,3.17,2.17,0.83,0.27,0.47,0.33,0.78,5,10,6,5,33.2,66.8,4.0,7.0,6.0,19.0,300.0,612.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,15.0,0.0,0.0,11.0,39.739999999999995,0.8,0.0,0.0,20.6,59.96,2.6,L
7,75514,1.0,9.0,0.89,0.44,3.67,1.17,0.83,1.33,0.47,0.4,1.0,0.44,14,4,3,5,67.5,32.5,4.0,3.0,20.0,17.0,645.0,311.0,10.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,19.0,56.4,2.6,0.0,0.0,13.0,42.5,1.4,W
7,34815,14.0,19.0,0.28,0.22,1.17,0.5,1.0,1.33,0.2,0.27,0.33,0.33,5,2,3,5,51.9,48.1,7.0,3.0,14.0,9.0,436.0,402.0,7.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,12.6,48.42,0.8,0.0,0.0,12.2,46.16,0.8,D
7,26561,12.0,4.0,0.39,0.67,0.83,1.17,1.33,0.5,0.0,0.33,0.33,0.56,2,2,5,1,54.1,45.9,7.0,5.0,28.0,13.0,331.0,295.0,9.0,5.0,2.0,8.0,1.0,2.0,0.0,0.0,8.0,10.0,0.0,0.0,13.8,50.7,0.8,0.0,0.0,15.2,52.2,2.2,L
7,24657,20.0,3.0,0.17,0.72,1.33,2.0,2.67,1.17,0.0,0.4,0.0,0.44,3,3,10,4,40.9,59.1,4.0,9.0,15.0,19.0,422.0,614.0,4.0,5.0,2.0,1.0,1.0,2.0,0.0,0.0,10.0,11.0,0.0,0.0,10.2,44.66,0.0,0.0,0.0,19.6,57.64,2.4,L
7,23766,17.0,10.0,0.22,0.44,0.67,0.83,1.17,1.17,0.2,0.33,0.33,0.67,3,4,3,2,48.9,51.1,10.0,5.0,22.0,17.0,432.0,446.0,4.0,4.0,1.0,3.0,2.0,3.0,0.0,0.0,12.0,7.0,0.0,0.0,15.2,50.22,0.6,0.0,0.0,15.6,51.98,1.6,W
7,19523,16.0,7.0,0.28,0.5,0.67,0.67,1.5,1.0,0.2,0.27,0.56,0.44,3,2,0,5,59.1,40.9,3.0,2.0,11.0,11.0,442.0,280.0,6.0,5.0,2.0,2.0,3.0,5.0,0.0,0.0,15.0,18.0,0.0,0.0,12.0,54.720000000000006,1.0,0.0,0.0,9.8,41.32,1.6,W
